word,count
postsUpdated,13
changedRemoteSession,13
limit,12
channel,12
subscriber,12
start_date,12
schools,12
like,12
challenges,12
provinces,12
flow,12
checkoutStatus,12
audios,12
orderEvent,12
Conversation__Create,12
Conversation__Update,12
activation_codes,12
assign_tests,12
assign_tests_by_pk,12
audios_aggregate,12
audios_by_pk,12
challenge_players,12
challenge_players_by_pk,12
challenge_ranking,12
challenge_ranking_aggregate,12
challenges_by_pk,12
check_point_questions,12
check_point_questions_aggregate,12
check_point_questions_by_pk,12
check_points,12
check_points_aggregate,12
check_points_by_pk,12
class_students,12
class_students_by_pk,12
daily_user_test_level_score,12
daily_user_test_level_score_aggregate,12
exam_structures,12
exam_structures_aggregate,12
exam_structures_by_pk,12
images_aggregate,12
images_by_pk,12
learner_profiles,12
learner_profiles_aggregate,12
learner_profiles_by_pk,12
monthly_user_scores,12
monthly_user_scores_aggregate,12
monthly_user_test_level_score,12
monthly_user_test_level_score_aggregate,12
notifications_aggregate,12
notifications_by_pk,12
profiles_by_pk,12
provinces_by_pk,12
question_attempts,12
question_attempts_aggregate,12
question_attempts_by_pk,12
question_contents,12
question_contents_aggregate,12
question_contents_by_pk,12
question_detail_attempts,12
question_detail_attempts_by_pk,12
question_detail_examples,12
question_detail_examples_aggregate,12
question_details,12
question_details_aggregate,12
question_details_by_pk,12
question_marks,12
question_marks_aggregate,12
question_practices,12
question_practices_by_pk,12
question_subquestions,12
question_subquestions_aggregate,12
question_subquestions_by_pk,12
questions_aggregate,12
questions_by_pk,12
review_2022,12
schools_by_pk,12
settings_aggregate,12
speakingCheckPoint,12
speakingCheckPoints,12
speakingCheckPointsAggregate,12
speakingPart,12
speakingPartType,12
speakingPartTypes,12
speakingParts,12
speakingPartsAggregate,12
speaking_candidate_sheets,12
speaking_candidate_sheets_by_pk,12
speaking_examiner_sheets,12
speaking_examiner_sheets_by_pk,12
speaking_find_differences,12
speaking_find_differences_by_pk,12
speaking_find_object_images,12
speaking_find_object_images_by_pk,12
speaking_find_objects,12
speaking_find_objects_by_pk,12
speaking_info_exchanges,12
speaking_info_exchanges_by_pk,12
speaking_move_object_images,12
speaking_move_object_images_by_pk,12
speaking_move_object_placeholders,12
speaking_move_object_placeholders_by_pk,12
speaking_move_objects,12
speaking_move_objects_by_pk,12
speaking_object_card_images,12
speaking_object_card_images_by_pk,12
speaking_part_attempts,12
speaking_part_attempts_by_pk,12
speaking_pic_story_images,12
speaking_pic_story_images_by_pk,12
speaking_question_attempts,12
speaking_question_attempts_by_pk,12
speaking_question_images,12
speaking_question_images_by_pk,12
speaking_questions,12
speaking_questions_aggregate,12
speaking_questions_by_pk,12
speaking_scene_card_points,12
speaking_scene_card_points_by_pk,12
speaking_scene_cards,12
speaking_scene_cards_by_pk,12
teacher_profiles,12
teacher_profiles_by_pk,12
test_level_exam_settings,12
test_level_exam_settings_aggregate,12
test_level_exam_settings_by_pk,12
test_levels,12
test_levels_aggregate,12
test_levels_by_pk,12
themes_by_pk,12
user_attempts,12
user_attempts_aggregate,12
user_attempts_by_pk,12
vnpay_payments,12
vocabulary_check_points,12
vocabulary_check_points_aggregate,12
vocabulary_check_points_by_pk,12
weekly_user_test_level_score,12
weekly_user_test_level_score_aggregate,12
writingCheckPoint,12
writingCheckPoints,12
writingCheckPointsAggregate,12
writingPart,12
writingParts,12
writingPartsAggregate,12
writing_part_attempts,12
writing_part_attempts_aggregate,12
writing_part_attempts_by_pk,12
writing_part_images,12
writing_part_images_by_pk,12
writing_teacher_count,12
yearly_user_test_level_score,12
yearly_user_test_level_score_aggregate,12
userflowResult,12
adminNotification,12
orderStream,12
itemUpdated,12
Message__ListSubscription,12
